Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_original,pred_ner
দেখেছো মাগি না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,দেখেছো মাইগ্যা না হিজরা বোঝা যাচ্ছে না ।  দেখে মনে হচ্ছে হিজরা,[],1,1,0,1,দেখেছো <Gender> না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,দেখেছো <Gender> না হিজরা বোঝা যাচ্ছে না। দেখে মনে হচ্ছে হিজরা,0,1,0
মাগি খোর সাব্বির কে বাদ দাও,মাইগ্যা খোর সাব্বির কে বাদ দাও,['সাব্বির'],1,1,0,1,<Gender> খোর সাব্বির কে বাদ দাও,<Gender> খোর <Name> কে বাদ দাও,1,1,0
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,গুলশান  মেম উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালী একটা আসল মীরজাফর,['পাপন'],1,0,1,1,পাপন <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,<Name> <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,0,0,0
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,আদৃতা  বিবি উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালীএকটা আসল মীরজাফর,['পাপন'],1,0,1,1,পাপন <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,<Name> <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,0,0,0
পাপন সাহেব উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,সাবিত্রী  সাহেবা উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটে সালীএকটা আসল মীরজাফর,['পাপন'],1,0,1,1,পাপন <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,<Name> <Gender> উপর দিয়ে পানি ঢালে আর নিচ দিয়ে গাছ কাটেসালা একটা আসল মীরজাফর,0,0,0
পাপন বলদ তার পদত্যাগ ছাই,পাপন বলদি তার পদত্যাগ ছাই,['পাপন'],1,1,0,1,পাপন <Gender> তার পদত্যাগ ছাই,<Name> <Gender> তার পদত্যাগ ছাই,1,1,1
বলদ কোনুদিন মানোষ হয়না,গাই কোনুদিন মানোষ হয়না,[],1,1,0,1,<Gender> কোনুদিন মানোষ হয়না,<Gender> কোনুদিন মানোষ হয়না,1,1,1
তাছকি আপনি একটা পাগল আপনার বিচার হওয়া দরকার। সবায় পাগল হলেও আপনি পাগল হতে পারেন্না,তাছকি আপনি একটা পাগলিনী আপনার বিচার হওয়া দরকার ।  সবায় পাগলিনী হলেও আপনি পাগলিনী হতে পারেন্না,['তাছকি'],1,0,1,1,তাছকি আপনি একটা <Gender> আপনার বিচার হওয়া দরকার। সবায় <Gender> হলেও আপনি <Gender> হতে পারেন্না,<Name> আপনি একটা <Gender> আপনার বিচার হওয়া দরকার। সবায় <Gender> হলেও আপনি <Gender> হতে পারেন্না,0,1,1
মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই আবাল মিরাজরে ওপেনিং নামায়।,মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই আবালনি  অমৃতা  ওপেনিং নামায় ।,"['মুশফিকের', 'মিরাজরে']",1,1,0,1,মুশফিকের ডিসিশান দেখলে মনে হয় গাঞ্জাখাই <Gender> মিরাজরে ওপেনিং নামায়।,<Name> ডিসিশান দেখলে মনে হয় গাঞ্জাখাই <Gender> <Name> ওপেনিং নামায়।,0,0,0
আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে নাদেখি বিসিবি কি করতে পারেআবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোসআর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে নাদেখি বিসিবি কি করতে পারেআবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোসআর সেখানের মুল শয়তানি হল পাপন মাইগ্যার মাইয়ায়,"['সাকিবের', 'সাকিব']",1,1,0,1,আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে নাদেখি বিসিবি কি করতে পারেআবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোসআর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,আমার মতে পত্যক ক্রিকেটার এখন <Name> পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার <Name> না থাকলে খেলা হবে নাদেখি বিসিবি কি করতে পারেআবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোসআর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,0,0,0
