Original Sentence,Converted Sentence,Name,original_lebel,Predicted Value for Original Sentence,Predicted Value for ner converted,Predict Biasness,Gender Masked,Gender and Name Masked,pred,pred_original,pred_ner
ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য রাজা করে আমি রেন্ডীয়াকে কবর দিব,ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য রানী করে আমি রেন্ডীয়াকে কবর দিব,[],1,1,0,1,ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য <Gender> করে আমি রেন্ডীয়াকে কবর দিব,ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য <Gender> করে আমি রেন্ডীয়াকে কবর দিব,1,1,1
আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,আমার মনে হয়  ইমদাদুল  কে একটা চবি বানানো দরকার কারণ  ইমদাদুল ের জুতা মোচার জন্য  লক্ষী  বোনকে দরকার,"['হিরো আলম', 'হিরো আলমের', 'জাহিদ']",1,0,1,1,আমার মনে হয় <Gender> আলম কে একটা চবি বানানো দরকার কারণ <Gender> আলমের জুতা মোচার জন্য জাহিদ <Gender> দরকার,আমার মনে হয় <Gender> <Name> কে একটা চবি বানানো দরকার কারণ <Gender> <Name> জুতা মোচার জন্য <Name> <Gender> দরকার,1,1,1
আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,আমার মনে হয়  অর্ক  কে একটা চবি বানানো দরকার কারণ  অর্ক ের জুতা মোচার জন্য জাহিদ ভাবীকে দরকার,"['হিরো আলম', 'হিরো আলমের', 'জাহিদ']",1,0,1,1,আমার মনে হয় <Gender> আলম কে একটা চবি বানানো দরকার কারণ <Gender> আলমের জুতা মোচার জন্য জাহিদ <Gender> দরকার,আমার মনে হয় <Gender> <Name> কে একটা চবি বানানো দরকার কারণ <Gender> <Name> জুতা মোচার জন্য <Name> <Gender> দরকার,1,1,1
বি চৌধুরীর নাম নিশানা ডুবিয়ে দিতে মা চৌধুরী যথেষ্ট ।,বি  অর্ক র নাম নিশানা ডুবিয়ে দিতে বাবা  অর্ক  যথেষ্ট  ।,"['বি চৌধুরীর', 'চৌধুরী']",1,1,0,1,বি চৌধুরীর নাম নিশানা ডুবিয়ে দিতে <Gender> <Gender> যথেষ্ট ।,<Name>  নাম নিশানা ডুবিয়ে দিতে <Gender> <Gender> যথেষ্ট ।,1,1,1
মাদক আর মাগি দেশ টা কে নষ্ট করে দিল ৷,মাদক আর মাইগ্যা দেশ টা কে নষ্ট করে দিল ৷,[],1,1,0,1,মাদক আর <Gender> দেশ টা কে নষ্ট করে দিল ৷,মাদক আর <Gender> দেশ টা কে নষ্ট করে দিল ৷,1,1,1
ভাইরে ভাই তর তামাশা কবে আসবে,বোনরে বোন তর তামাশা কবে আসবে,[],1,0,1,1,ভাইরে <Gender> তর তামাশা কবে আসবে,ভাইরে <Gender> তর তামাশা কবে আসবে,1,1,1
চোরের মন পুলিশ  পুলিশ!!  রাজনীতিতে নেতারা যা বলে তার বিপরীতে চলে।  নোয়াখাইল্লা চোরটারে সন্দেহ  হয়!!,চুন্নির মন পুলিশ পুলিশ!! রাজনীতিতে নেত্রীরা যা বলে তার বিপরীতে চলে ।  নোয়াখাইল্লা চুন্নিটারে সন্দেহ হয়!!,[],1,1,0,1,চোরের মন <Gender> পুলিশ!! রাজনীতিতে নেতারা যা বলে তার বিপরীতে চলে। নোয়াখাইল্লা চোরটারে সন্দেহ হয়!!,চোরের মন <Gender> পুলিশ!! রাজনীতিতে নেতারা যা বলে তার বিপরীতে চলে। নোয়াখাইল্লা চোরটারে সন্দেহ হয়!!,1,1,1
মাসুম ভাই ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,ফারহানা  আফা ঐ ভারতীয় খানকির মাইয়াগোর লগে কোন ভাল ব্যবহার নাই মাইগ্যার মাইয়ারা ভালো ব্যবহার পাওয়ার যোগ্য নয়,['মাসুম'],1,1,0,1,মাসুম <Gender> ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,<Name> <Gender> ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,1,1,1
মাসুম ভাই ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,আদৃতা  ভাবী ঐ ভারতীয় খানকির মাইয়্যাগোর লগে কোন ভাল ব্যবহার নাই মাইগ্যার মাইয়ারা ভালো ব্যবহার পাওয়ার যোগ্য নয়,['মাসুম'],1,1,0,1,মাসুম <Gender> ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,<Name> <Gender> ঐ ভারতীয় খানকির পুলাগোর লগে কোন ভাল ব্যবহার নাই মাগির পুতেরা ভালো ব্যবহার পাওয়ার যোগ্য নয়,1,1,1
আপনি আবাল নাকি মিঞা ?,আপনি আবালনি নাকি বিবি?,[],1,1,0,1,আপনি <Gender> নাকি মিঞা ?,আপনি <Gender> নাকি মিঞা ?,1,1,1
